,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description
32129,2014-03-17 02:00:00,3/21/2014,2014,3,2,Spring,USA,United States,North Carolina,Charlotte,35.2269444,-80.8433333,Other,3600.0,1 hour,Alien Abduction with provable markings left on the body.
32364,2006-03-19 23:00:00,10/30/2006,2006,3,23,Spring,GBR,United Kingdom,England,Park Central,52.466667,-1.916667,Light,7200.0,2 hours,I actually saw an alien
32371,2007-03-19 11:22:00,4/27/2007,2007,3,11,Spring,USA,United States,Colorado,Colorado Springs,38.8338889,-104.8208333,Triangle,86400.0,1 day,Air Force fired projectiles of some sort at alien craft and hit them directly&#44 causing all of the craft fired upon to hit the ground.
32786,2013-03-21 18:00:00,5/15/2013,2013,3,18,Spring,USA,United States,Florida,Fort Myers,26.640628,-81.872308,,900.0,~15 minutes,This alien being was not visible at the time of the photo being taken&#44 but was visible later in the photo.
32914,2011-03-02 21:00:00,1/10/2014,2011,3,21,Spring,USA,United States,Texas,Coleman County,31.9280556,-99.3175,Chevron,60.0,1:00,Man Escapes Alien Abduction With Photo&#44s to Prove It.
33053,2009-03-22 22:00:00,4/14/2009,2009,3,22,Spring,GBR,United Kingdom,England,South End,52.47568,0.931012,Sphere,600.0,10 minutes,UfO 12 unidentified crafts aproached by possible british or United states craft  not first contact with possible aliens in this area.
33468,2006-03-25 21:30:00,5/15/2006,2006,3,21,Spring,USA,United States,Washington,Onion Creek,48.7838889,-117.8105556,Fireball,4.0,4 seconds,i thought this sighting was rather co-incidental.. i was watching SIGNS with mel gibson and joaquin phonix was about to bash an alien w
33581,2002-03-26 20:47:00,6/12/2002,2002,3,20,Spring,USA,United States,Nebraska,Lincoln,40.8,-96.6666667,Changing,360.0,6 minutes,I saw two space alien ships fighting with each other&#44 and making weird sounds and seeing different lights and shapes.
33586,2003-03-26 20:00:00,4/22/2003,2003,3,20,Spring,USA,United States,California,San Jose,37.3394444,-121.8938889,,5.0,5 seconds,Possible alien encounter.  Not UFO&#44 actual alien...
33823,2014-03-27 23:30:00,4/4/2014,2014,3,23,Spring,USA,United States,Florida,Lee County,26.625,-81.625,Unknown,30.0,30 seconds,Alien being seen running on foot on the ground.
34394,2010-03-31 01:40:00,4/13/2010,2010,3,1,Spring,IRN,Iran,Bushehr Province,دهستان چاه مبارک,27.33,52.903333,,100.0,1:40,3 Saucers land in Jordan with tall Aliens heading down from them
34417,2012-03-31 22:37:00,5/13/2012,2012,3,22,Spring,USA,United States,Utah,White City,40.5658333,-111.8636111,Triangle,300.0,5min,Alien drone craft with a mother ship over salt lake city and no one seen it but us humm??
34560,2012-03-03 17:30:00,10/30/2012,2012,3,17,Spring,USA,United States,Tennessee,Alto,35.2705556,-85.9530556,Fireball,751.0,12:31,A fireball like image falling from sky then seeing an alien days later in field.
34603,2014-03-03 23:50:00,3/18/2014,2014,3,23,Spring,USA,United States,North Carolina,Raeford,34.9808333,-79.2244444,Other,120.0,2 minutes,Fast moving like war plane like alien craft.
34716,2012-03-04 03:00:00,3/13/2012,2012,3,3,Spring,USA,United States,California,Los Angeles,34.0983333,-118.3258333,Other,300.0,5 minutes,This was an indisputable moving creature of sorts in the sky&#44 not machinery&#44 and definitely not man made or controlled. Calculated.
35064,2014-03-06 04:00:00,4/4/2014,2014,3,4,Spring,USA,United States,Utah,Salt Lake City,40.7608333,-111.8902778,Disk,18000.0,5 hours,((HOAX??))  Abduction and Oval Ufo sighting a few weeks before.  The aliens were red headed Lyrans.
35347,2007-03-08 12:30:00,4/27/2007,2007,3,12,Spring,USA,United States,Missouri,Jefferson County,38.23103,-90.525782,Unknown,7200.0,2 hours,I saw 1 craft&#44 which was it looked like a square with red and green lights.  It moved slowly at times. I&#39m not saying it&#39s an alien cra
35498,2005-03-09 19:00:00,5/11/2005,2005,3,19,Spring,USA,United States,Virginia,Gloucester Point,37.2386111,-76.51,Triangle,240.0,1-4 minutes,Possible UFO- but more importantly&#44 the alien experience
